Metro Code,CSA Code,Metro Name,CSA Title,County Name,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
41620,482,"Salt Lake City, UT","Salt Lake City-Provo-Orem, UT",Tooele County,Utah,49,45,Outlying
41660,,"San Angelo, TX",,Irion County,Texas,48,235,Outlying
41660,,"San Angelo, TX",,Sterling County,Texas,48,431,Outlying
41660,,"San Angelo, TX",,Tom Green County,Texas,48,451,Central
41700,484,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels-Pearsall, TX",Atascosa County,Texas,48,13,Outlying
41700,484,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels-Pearsall, TX",Bandera County,Texas,48,19,Outlying
41700,484,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels-Pearsall, TX",Bexar County,Texas,48,29,Central
41700,484,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels-Pearsall, TX",Comal County,Texas,48,91,Central
41700,484,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels-Pearsall, TX",Guadalupe County,Texas,48,187,Central
41700,484,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels-Pearsall, TX",Kendall County,Texas,48,259,Outlying
41700,484,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels-Pearsall, TX",Medina County,Texas,48,325,Outlying
41700,484,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels-Pearsall, TX",Wilson County,Texas,48,493,Outlying
41740,,"San Diego-Chula Vista-Carlsbad, CA",,San Diego County,California,6,73,Central
41760,,"Sandpoint, ID",,Bonner County,Idaho,16,17,Central
41780,184,"Sandusky, OH","Cleveland-Akron-Canton, OH",Erie County,Ohio,39,43,Central
41820,246,"Sanford, NC","Fayetteville-Sanford-Lumberton, NC",Lee County,North Carolina,37,105,Central
41860,488,"San Francisco-Oakland-Berkeley, CA","San Jose-San Francisco-Oakland, CA",Alameda County,California,6,1,Central
41860,488,"San Francisco-Oakland-Berkeley, CA","San Jose-San Francisco-Oakland, CA",Contra Costa County,California,6,13,Outlying
41860,488,"San Francisco-Oakland-Berkeley, CA","San Jose-San Francisco-Oakland, CA",San Francisco County,California,6,75,Central
41860,488,"San Francisco-Oakland-Berkeley, CA","San Jose-San Francisco-Oakland, CA",San Mateo County,California,6,81,Central
41860,488,"San Francisco-Oakland-Berkeley, CA","San Jose-San Francisco-Oakland, CA",Marin County,California,6,41,Central
41900,364,"San Germán, PR","Mayagüez-San Germán, PR",Cabo Rojo Municipio,Puerto Rico,72,23,Central
